,season,week,idgame,awayteam,hometeam,team,winner,loser,streak,streak_before,streak_away,streak_home
0,2021,18,401326600,Chargers,Raiders,Raiders,Raiders,Chargers,4,3,0,0
1,2021,18,401326600,Chargers,Raiders,Chargers,Raiders,Chargers,-1,1,0,0
2,2021,18,401326599,49ers,Rams,Rams,49ers,Rams,-1,5,0,0
3,2021,18,401326599,49ers,Rams,49ers,49ers,Rams,2,1,0,0
4,2021,18,401326598,Chiefs,Broncos,Chiefs,Chiefs,Broncos,1,-1,0,0
5,2021,18,401326598,Chiefs,Broncos,Broncos,Chiefs,Broncos,-4,-3,0,0
6,2021,18,401326597,Seahawks,Cardinals,Seahawks,Seahawks,Cardinals,2,1,0,0
7,2021,18,401326597,Seahawks,Cardinals,Cardinals,Seahawks,Cardinals,-1,1,0,0
8,2021,18,401326596,Panthers,Buccaneers,Panthers,Buccaneers,Panthers,-7,-6,0,0
9,2021,18,401326596,Panthers,Buccaneers,Buccaneers,Buccaneers,Panthers,3,2,0,0
10,2021,18,401326595,Cowboys,Eagles,Eagles,Cowboys,Eagles,-1,4,0,0
11,2021,18,401326595,Cowboys,Eagles,Cowboys,Cowboys,Eagles,1,-1,0,0
12,2021,18,401326594,Washington,Giants,Washington,Washington,Giants,1,-4,0,0
13,2021,18,401326594,Washington,Giants,Giants,Washington,Giants,-6,-5,0,0
14,2021,18,401326593,Bears,Vikings,Vikings,Vikings,Bears,1,-2,0,0
15,2021,18,401326593,Bears,Vikings,Bears,Vikings,Bears,-1,2,0,0
16,2021,18,401326592,Patriots,Dolphins,Patriots,Dolphins,Patriots,-1,1,0,0
17,2021,18,401326592,Patriots,Dolphins,Dolphins,Dolphins,Patriots,1,-1,0,0
18,2021,18,401326591,Colts,Jaguars,Jaguars,Jaguars,Colts,1,-8,0,0
19,2021,18,401326591,Colts,Jaguars,Colts,Jaguars,Colts,-2,-1,0,0
20,2021,18,401326590,Titans,Texans,Titans,Titans,Texans,3,2,0,0
21,2021,18,401326590,Titans,Texans,Texans,Titans,Texans,-2,-1,0,0
22,2021,18,401326589,Packers,Lions,Packers,Lions,Packers,-1,5,0,0
23,2021,18,401326589,Packers,Lions,Lions,Lions,Packers,1,-2,0,0
24,2021,18,401326588,Bengals,Browns,Browns,Browns,Bengals,1,-3,0,0
25,2021,18,401326588,Bengals,Browns,Bengals,Browns,Bengals,-1,3,0,0
26,2021,18,401326587,Jets,Bills,Jets,Bills,Jets,-2,-1,0,0
27,2021,18,401326587,Jets,Bills,Bills,Bills,Jets,4,3,0,0
28,2021,18,401326586,Steelers,Ravens,Steelers,Steelers,Ravens,2,1,0,0
29,2021,18,401326586,Steelers,Ravens,Ravens,Steelers,Ravens,-6,-5,0,0
30,2021,18,401326585,Saints,Falcons,Saints,Saints,Falcons,2,1,0,0
31,2021,18,401326585,Saints,Falcons,Falcons,Saints,Falcons,-2,-1,0,0
32,2021,17,401326584,Browns,Steelers,Steelers,Steelers,Browns,1,-1,0,0
33,2021,17,401326584,Browns,Steelers,Browns,Steelers,Browns,-3,-2,0,0
34,2021,17,401326583,Vikings,Packers,Vikings,Packers,Vikings,-2,-1,0,0
35,2021,17,401326583,Vikings,Packers,Packers,Packers,Vikings,5,4,0,0
36,2021,17,401326582,Lions,Seahawks,Seahawks,Seahawks,Lions,1,-2,0,0
37,2021,17,401326582,Lions,Seahawks,Lions,Seahawks,Lions,-2,-1,0,0
38,2021,17,401326581,Rams,Ravens,Ravens,Rams,Ravens,-5,-4,0,0
39,2021,17,401326581,Rams,Ravens,Rams,Rams,Ravens,5,4,0,0
40,2021,17,401326580,Texans,49ers,Texans,49ers,Texans,-1,2,0,0
41,2021,17,401326580,Texans,49ers,49ers,49ers,Texans,1,-1,0,0
42,2021,17,401326579,Broncos,Chargers,Chargers,Chargers,Broncos,1,-2,0,0
43,2021,17,401326579,Broncos,Chargers,Broncos,Chargers,Broncos,-3,-2,0,0
44,2021,17,401326578,Eagles,Washington,Washington,Eagles,Washington,-4,-3,0,0
45,2021,17,401326578,Eagles,Washington,Eagles,Eagles,Washington,4,3,0,0
46,2021,17,401326577,Dolphins,Titans,Titans,Titans,Dolphins,2,1,0,0
47,2021,17,401326577,Dolphins,Titans,Dolphins,Titans,Dolphins,-1,7,0,0
48,2021,17,401326576,Buccaneers,Jets,Jets,Buccaneers,Jets,-1,1,0,0
49,2021,17,401326576,Buccaneers,Jets,Buccaneers,Buccaneers,Jets,2,1,0,0
50,2021,17,401326575,Panthers,Saints,Saints,Saints,Panthers,1,-1,0,0
51,2021,17,401326575,Panthers,Saints,Panthers,Saints,Panthers,-6,-5,0,0
52,2021,17,401326574,Jaguars,Patriots,Patriots,Patriots,Jaguars,1,-2,0,0
53,2021,17,401326574,Jaguars,Patriots,Jaguars,Patriots,Jaguars,-8,-7,0,0
54,2021,17,401326573,Raiders,Colts,Raiders,Raiders,Colts,3,2,0,0
55,2021,17,401326573,Raiders,Colts,Colts,Raiders,Colts,-1,3,0,0
56,2021,17,401326572,Cardinals,Cowboys,Cowboys,Cardinals,Cowboys,-1,4,0,0
57,2021,17,401326572,Cardinals,Cowboys,Cardinals,Cardinals,Cowboys,1,-3,0,0
58,2021,17,401326571,Chiefs,Bengals,Chiefs,Bengals,Chiefs,-1,8,0,0
59,2021,17,401326571,Chiefs,Bengals,Bengals,Bengals,Chiefs,3,2,0,0
60,2021,17,401326570,Giants,Bears,Giants,Bears,Giants,-5,-4,0,0
61,2021,17,401326570,Giants,Bears,Bears,Bears,Giants,2,1,0,0
62,2021,17,401326569,Falcons,Bills,Falcons,Bills,Falcons,-1,1,0,0
63,2021,17,401326569,Falcons,Bills,Bills,Bills,Falcons,3,2,0,0
64,2021,16,401326568,Dolphins,Saints,Saints,Dolphins,Saints,-1,2,0,0
65,2021,16,401326568,Dolphins,Saints,Dolphins,Dolphins,Saints,7,6,0,0
66,2021,16,401326567,Washington,Cowboys,Washington,Cowboys,Washington,-3,-2,0,0
67,2021,16,401326567,Washington,Cowboys,Cowboys,Cowboys,Washington,4,3,0,0
68,2021,16,401326566,Broncos,Raiders,Raiders,Raiders,Broncos,2,1,0,0
69,2021,16,401326566,Broncos,Raiders,Broncos,Raiders,Broncos,-2,-1,0,0
70,2021,16,401326565,Steelers,Chiefs,Steelers,Chiefs,Steelers,-1,1,0,0
71,2021,16,401326565,Steelers,Chiefs,Chiefs,Chiefs,Steelers,8,7,0,0
72,2021,16,401326564,Bears,Seahawks,Seahawks,Bears,Seahawks,-2,-1,0,0
73,2021,16,401326564,Bears,Seahawks,Bears,Bears,Seahawks,1,-3,0,0
74,2021,16,401326563,Giants,Eagles,Giants,Eagles,Giants,-4,-3,0,0
75,2021,16,401326563,Giants,Eagles,Eagles,Eagles,Giants,3,2,0,0
76,2021,16,401326562,Jaguars,Jets,Jets,Jets,Jaguars,1,-3,0,0
77,2021,16,401326562,Jaguars,Jets,Jaguars,Jets,Jaguars,-7,-6,0,0
78,2021,16,401326561,Bills,Patriots,Patriots,Bills,Patriots,-2,-1,0,0
79,2021,16,401326561,Bills,Patriots,Bills,Bills,Patriots,2,1,0,0
80,2021,16,401326560,Rams,Vikings,Vikings,Rams,Vikings,-1,2,0,0
81,2021,16,401326560,Rams,Vikings,Rams,Rams,Vikings,4,3,0,0
82,2021,16,401326559,Chargers,Texans,Texans,Texans,Chargers,2,1,0,0
83,2021,16,401326559,Chargers,Texans,Chargers,Texans,Chargers,-2,-1,0,0
84,2021,16,401326558,Ravens,Bengals,Ravens,Bengals,Ravens,-4,-3,0,0
85,2021,16,401326558,Ravens,Bengals,Bengals,Bengals,Ravens,2,1,0,0
86,2021,16,401326557,Buccaneers,Panthers,Panthers,Buccaneers,Panthers,-5,-4,0,0
87,2021,16,401326557,Buccaneers,Panthers,Buccaneers,Buccaneers,Panthers,1,-1,0,0
88,2021,16,401326556,Lions,Falcons,Lions,Falcons,Lions,-1,1,0,0
89,2021,16,401326556,Lions,Falcons,Falcons,Falcons,Lions,1,-1,0,0
90,2021,16,401326555,Colts,Cardinals,Colts,Colts,Cardinals,3,2,0,0
91,2021,16,401326555,Colts,Cardinals,Cardinals,Colts,Cardinals,-3,-2,0,0
92,2021,16,401326554,Browns,Packers,Packers,Packers,Browns,4,3,0,0
93,2021,16,401326554,Browns,Packers,Browns,Packers,Browns,-2,-1,0,0
94,2021,16,401326553,49ers,Titans,Titans,Titans,49ers,1,-1,0,0
95,2021,16,401326553,49ers,Titans,49ers,Titans,49ers,-1,2,0,0
96,2021,15,401326552,Vikings,Bears,Vikings,Vikings,Bears,2,1,0,0
97,2021,15,401326552,Vikings,Bears,Bears,Vikings,Bears,-3,-2,0,0
98,2021,15,401326551,Saints,Buccaneers,Saints,Saints,Buccaneers,2,1,0,0
99,2021,15,401326551,Saints,Buccaneers,Buccaneers,Saints,Buccaneers,-1,4,0,0
100,2021,15,401326550,Seahawks,Rams,Seahawks,Rams,Seahawks,-1,2,0,0
101,2021,15,401326550,Seahawks,Rams,Rams,Rams,Seahawks,3,2,0,0
102,2021,15,401326549,Falcons,49ers,Falcons,49ers,Falcons,-1,1,0,0
103,2021,15,401326549,Falcons,49ers,49ers,49ers,Falcons,2,1,0,0
104,2021,15,401326548,Bengals,Broncos,Broncos,Bengals,Broncos,-1,1,0,0
105,2021,15,401326548,Bengals,Broncos,Bengals,Bengals,Broncos,1,-2,0,0
106,2021,15,401326547,Titans,Steelers,Titans,Steelers,Titans,-1,1,0,0
107,2021,15,401326547,Titans,Steelers,Steelers,Steelers,Titans,1,-1,0,0
108,2021,15,401326546,Cowboys,Giants,Giants,Cowboys,Giants,-3,-2,0,0
109,2021,15,401326546,Cowboys,Giants,Cowboys,Cowboys,Giants,3,2,0,0
110,2021,15,401326545,Texans,Jaguars,Texans,Texans,Jaguars,1,-3,0,0
111,2021,15,401326545,Texans,Jaguars,Jaguars,Texans,Jaguars,-6,-5,0,0
112,2021,15,401326544,Cardinals,Lions,Lions,Lions,Cardinals,1,-1,0,0
113,2021,15,401326544,Cardinals,Lions,Cardinals,Lions,Cardinals,-2,-1,0,0
114,2021,15,401326543,Packers,Ravens,Ravens,Packers,Ravens,-3,-2,0,0
115,2021,15,401326543,Packers,Ravens,Packers,Packers,Ravens,3,2,0,0
116,2021,15,401326542,Washington,Eagles,Washington,Eagles,Washington,-2,-1,0,0
117,2021,15,401326542,Washington,Eagles,Eagles,Eagles,Washington,2,1,0,0
118,2021,15,401326541,Jets,Dolphins,Jets,Dolphins,Jets,-3,-2,0,0
119,2021,15,401326541,Jets,Dolphins,Dolphins,Dolphins,Jets,6,5,0,0
120,2021,15,401326540,Patriots,Colts,Patriots,Colts,Patriots,-1,7,0,0
121,2021,15,401326540,Patriots,Colts,Colts,Colts,Patriots,2,1,0,0
122,2021,15,401326539,Raiders,Browns,Raiders,Raiders,Browns,1,-2,0,0
123,2021,15,401326539,Raiders,Browns,Browns,Raiders,Browns,-1,1,0,0
124,2021,15,401326538,Panthers,Bills,Panthers,Bills,Panthers,-4,-3,0,0
125,2021,15,401326538,Panthers,Bills,Bills,Bills,Panthers,1,-2,0,0
126,2021,15,401326537,Chiefs,Chargers,Chiefs,Chiefs,Chargers,7,6,0,0
127,2021,15,401326537,Chiefs,Chargers,Chargers,Chiefs,Chargers,-1,2,0,0
128,2021,14,401326536,Rams,Cardinals,Rams,Rams,Cardinals,2,1,0,0
129,2021,14,401326536,Rams,Cardinals,Cardinals,Rams,Cardinals,-1,2,0,0
130,2021,14,401326535,Bears,Packers,Packers,Packers,Bears,2,1,0,0
131,2021,14,401326535,Bears,Packers,Bears,Packers,Bears,-2,-1,0,0
132,2021,14,401326534,Bills,Buccaneers,Buccaneers,Buccaneers,Bills,4,3,0,0
133,2021,14,401326534,Bills,Buccaneers,Bills,Buccaneers,Bills,-2,-1,0,0
134,2021,14,401326533,Giants,Chargers,Giants,Chargers,Giants,-2,-1,0,0
135,2021,14,401326533,Giants,Chargers,Chargers,Chargers,Giants,2,1,0,0
136,2021,14,401326532,Lions,Broncos,Lions,Broncos,Lions,-1,1,0,0
137,2021,14,401326532,Lions,Broncos,Broncos,Broncos,Lions,1,-1,0,0
138,2021,14,401326531,Cowboys,Washington,Washington,Cowboys,Washington,-1,4,0,0
139,2021,14,401326531,Cowboys,Washington,Cowboys,Cowboys,Washington,2,1,0,0
140,2021,14,401326530,Jaguars,Titans,Titans,Titans,Jaguars,1,-2,0,0
141,2021,14,401326530,Jaguars,Titans,Jaguars,Titans,Jaguars,-5,-4,0,0
142,2021,14,401326529,Saints,Jets,Saints,Saints,Jets,1,-5,0,0
143,2021,14,401326529,Saints,Jets,Jets,Saints,Jets,-2,-1,0,0
144,2021,14,401326528,Raiders,Chiefs,Raiders,Chiefs,Raiders,-2,-1,0,0
145,2021,14,401326528,Raiders,Chiefs,Chiefs,Chiefs,Raiders,6,5,0,0
146,2021,14,401326527,Seahawks,Texans,Texans,Seahawks,Texans,-3,-2,0,0
147,2021,14,401326527,Seahawks,Texans,Seahawks,Seahawks,Texans,2,1,0,0
148,2021,14,401326526,Ravens,Browns,Ravens,Browns,Ravens,-2,-1,0,0
149,2021,14,401326526,Ravens,Browns,Browns,Browns,Ravens,1,-1,0,0
150,2021,14,401326525,49ers,Bengals,Bengals,49ers,Bengals,-2,-1,0,0
151,2021,14,401326525,49ers,Bengals,49ers,49ers,Bengals,1,-1,0,0
152,2021,14,401326524,Falcons,Panthers,Panthers,Falcons,Panthers,-3,-2,0,0
153,2021,14,401326524,Falcons,Panthers,Falcons,Falcons,Panthers,1,-1,0,0
154,2021,14,401326523,Steelers,Vikings,Vikings,Vikings,Steelers,1,-2,0,0
155,2021,14,401326523,Steelers,Vikings,Steelers,Vikings,Steelers,-1,1,0,0
156,2021,13,401326522,Patriots,Bills,Patriots,Patriots,Bills,7,6,0,0
157,2021,13,401326522,Patriots,Bills,Bills,Patriots,Bills,-1,1,0,0
158,2021,13,401326521,49ers,Seahawks,Seahawks,Seahawks,49ers,1,-3,0,0
159,2021,13,401326521,49ers,Seahawks,49ers,Seahawks,49ers,-1,3,0,0
160,2021,13,401326520,Ravens,Steelers,Steelers,Steelers,Ravens,1,-2,0,0
161,2021,13,401326520,Ravens,Steelers,Ravens,Steelers,Ravens,-1,2,0,0
162,2021,13,401326519,Jaguars,Rams,Rams,Rams,Jaguars,1,-3,0,0
163,2021,13,401326519,Jaguars,Rams,Jaguars,Rams,Jaguars,-4,-3,0,0
164,2021,13,401326518,Washington,Raiders,Washington,Washington,Raiders,4,3,0,0
165,2021,13,401326518,Washington,Raiders,Raiders,Washington,Raiders,-1,1,0,0
166,2021,13,401326517,Eagles,Jets,Jets,Eagles,Jets,-1,1,0,0
167,2021,13,401326517,Eagles,Jets,Eagles,Eagles,Jets,1,-1,0,0
168,2021,13,401326516,Giants,Dolphins,Giants,Dolphins,Giants,-1,1,0,0
169,2021,13,401326516,Giants,Dolphins,Dolphins,Dolphins,Giants,5,4,0,0
170,2021,13,401326515,Broncos,Chiefs,Chiefs,Chiefs,Broncos,5,4,0,0
171,2021,13,401326515,Broncos,Chiefs,Broncos,Chiefs,Broncos,-1,1,0,0
172,2021,13,401326514,Colts,Texans,Texans,Colts,Texans,-2,-1,0,0
173,2021,13,401326514,Colts,Texans,Colts,Colts,Texans,1,-1,0,0
174,2021,13,401326513,Vikings,Lions,Vikings,Lions,Vikings,-2,-1,0,0
175,2021,13,401326513,Vikings,Lions,Lions,Lions,Vikings,1,-15,0,0
176,2021,13,401326512,Chargers,Bengals,Chargers,Chargers,Bengals,1,-1,0,0
177,2021,13,401326512,Chargers,Bengals,Bengals,Chargers,Bengals,-1,2,0,0
178,2021,13,401326511,Cardinals,Bears,Cardinals,Cardinals,Bears,2,1,0,0
179,2021,13,401326511,Cardinals,Bears,Bears,Cardinals,Bears,-1,1,0,0
180,2021,13,401326510,Buccaneers,Falcons,Falcons,Buccaneers,Falcons,-1,1,0,0
181,2021,13,401326510,Buccaneers,Falcons,Buccaneers,Buccaneers,Falcons,3,2,0,0
182,2021,13,401326509,Cowboys,Saints,Saints,Cowboys,Saints,-5,-4,0,0
183,2021,13,401326509,Cowboys,Saints,Cowboys,Cowboys,Saints,1,-2,0,0
184,2021,12,401326508,Seahawks,Washington,Washington,Washington,Seahawks,3,2,0,0
185,2021,12,401326508,Seahawks,Washington,Seahawks,Washington,Seahawks,-3,-2,0,0
186,2021,12,401326507,Browns,Ravens,Ravens,Ravens,Browns,2,1,0,0
187,2021,12,401326507,Browns,Ravens,Browns,Ravens,Browns,-1,1,0,0
188,2021,12,401326506,Vikings,49ers,Vikings,49ers,Vikings,-1,2,0,0
189,2021,12,401326506,Vikings,49ers,49ers,49ers,Vikings,3,2,0,0
190,2021,12,401326505,Rams,Packers,Rams,Packers,Rams,-3,-2,0,0
191,2021,12,401326505,Rams,Packers,Packers,Packers,Rams,1,-1,0,0
192,2021,12,401326504,Chargers,Broncos,Chargers,Broncos,Chargers,-1,1,0,0
193,2021,12,401326504,Chargers,Broncos,Broncos,Broncos,Chargers,1,-1,0,0
194,2021,12,401326503,Eagles,Giants,Giants,Giants,Eagles,1,-1,0,0
195,2021,12,401326503,Eagles,Giants,Eagles,Giants,Eagles,-1,2,0,0
196,2021,12,401326502,Titans,Patriots,Titans,Patriots,Titans,-2,-1,0,0
197,2021,12,401326502,Titans,Patriots,Patriots,Patriots,Titans,6,5,0,0
198,2021,12,401326501,Panthers,Dolphins,Panthers,Dolphins,Panthers,-2,-1,0,0
199,2021,12,401326501,Panthers,Dolphins,Dolphins,Dolphins,Panthers,4,3,0,0
200,2021,12,401326500,Falcons,Jaguars,Jaguars,Falcons,Jaguars,-3,-2,0,0
201,2021,12,401326500,Falcons,Jaguars,Falcons,Falcons,Jaguars,1,-2,0,0
202,2021,12,401326499,Buccaneers,Colts,Colts,Buccaneers,Colts,-1,3,0,0
203,2021,12,401326499,Buccaneers,Colts,Buccaneers,Buccaneers,Colts,2,1,0,0
204,2021,12,401326498,Jets,Texans,Texans,Jets,Texans,-1,1,0,0
205,2021,12,401326498,Jets,Texans,Jets,Jets,Texans,1,-3,0,0
206,2021,12,401326497,Steelers,Bengals,Steelers,Bengals,Steelers,-2,-1,0,0
207,2021,12,401326497,Steelers,Bengals,Bengals,Bengals,Steelers,2,1,0,0
208,2021,12,401326496,Bills,Saints,Saints,Bills,Saints,-4,-3,0,0
209,2021,12,401326496,Bills,Saints,Bills,Bills,Saints,1,-1,0,0
210,2021,12,401326495,Raiders,Cowboys,Raiders,Raiders,Cowboys,1,-3,0,0
211,2021,12,401326495,Raiders,Cowboys,Cowboys,Raiders,Cowboys,-2,-1,0,0
212,2021,12,401326494,Bears,Lions,Lions,Bears,Lions,-15,-14,0,0
213,2021,12,401326494,Bears,Lions,Bears,Bears,Lions,1,-5,0,0
214,2021,11,401326493,Giants,Buccaneers,Giants,Buccaneers,Giants,-1,1,0,0
215,2021,11,401326493,Giants,Buccaneers,Buccaneers,Buccaneers,Giants,1,-2,0,0
216,2021,11,401326492,Steelers,Chargers,Steelers,Chargers,Steelers,-1,0,0,0
217,2021,11,401326492,Steelers,Chargers,Chargers,Chargers,Steelers,1,-1,0,0
218,2021,11,401326491,Cardinals,Seahawks,Seahawks,Cardinals,Seahawks,-2,-1,0,0
219,2021,11,401326491,Cardinals,Seahawks,Cardinals,Cardinals,Seahawks,1,-1,0,0
220,2021,11,401326490,Cowboys,Chiefs,Cowboys,Chiefs,Cowboys,-1,1,0,0
221,2021,11,401326490,Cowboys,Chiefs,Chiefs,Chiefs,Cowboys,4,3,0,0
222,2021,11,401326489,Bengals,Raiders,Raiders,Bengals,Raiders,-3,-2,0,0
223,2021,11,401326489,Bengals,Raiders,Bengals,Bengals,Raiders,1,-2,0,0
224,2021,11,401326488,Texans,Titans,Titans,Texans,Titans,-1,6,0,0
225,2021,11,401326488,Texans,Titans,Texans,Texans,Titans,1,-8,0,0
226,2021,11,401326487,Saints,Eagles,Saints,Eagles,Saints,-3,-2,0,0
227,2021,11,401326487,Saints,Eagles,Eagles,Eagles,Saints,2,1,0,0
228,2021,11,401326486,Dolphins,Jets,Jets,Dolphins,Jets,-3,-2,0,0
229,2021,11,401326486,Dolphins,Jets,Dolphins,Dolphins,Jets,3,2,0,0
230,2021,11,401326485,Packers,Vikings,Vikings,Vikings,Packers,2,1,0,0
231,2021,11,401326485,Packers,Vikings,Packers,Vikings,Packers,-1,1,0,0
232,2021,11,401326484,49ers,Jaguars,Jaguars,49ers,Jaguars,-2,-1,0,0
233,2021,11,401326484,49ers,Jaguars,49ers,49ers,Jaguars,2,1,0,0
234,2021,11,401326483,Lions,Browns,Lions,Browns,Lions,-14,-12,0,0
235,2021,11,401326483,Lions,Browns,Browns,Browns,Lions,1,-1,0,0
236,2021,11,401326482,Ravens,Bears,Ravens,Ravens,Bears,1,-1,0,0
237,2021,11,401326482,Ravens,Bears,Bears,Ravens,Bears,-5,-4,0,0
238,2021,11,401326481,Washington,Panthers,Washington,Washington,Panthers,2,1,0,0
239,2021,11,401326481,Washington,Panthers,Panthers,Washington,Panthers,-1,1,0,0
240,2021,11,401326480,Colts,Bills,Colts,Colts,Bills,3,2,0,0
241,2021,11,401326480,Colts,Bills,Bills,Colts,Bills,-1,1,0,0
242,2021,11,401326479,Patriots,Falcons,Patriots,Patriots,Falcons,5,4,0,0
243,2021,11,401326479,Patriots,Falcons,Falcons,Patriots,Falcons,-2,-1,0,0
244,2021,10,401326478,Rams,49ers,Rams,49ers,Rams,-2,-1,0,0
245,2021,10,401326478,Rams,49ers,49ers,49ers,Rams,1,-1,0,0
246,2021,10,401326477,Chiefs,Raiders,Raiders,Chiefs,Raiders,-2,-1,0,0
247,2021,10,401326477,Chiefs,Raiders,Chiefs,Chiefs,Raiders,3,2,0,0
248,2021,10,401326476,Seahawks,Packers,Seahawks,Packers,Seahawks,-1,1,0,0
249,2021,10,401326476,Seahawks,Packers,Packers,Packers,Seahawks,1,-1,0,0
250,2021,10,401326475,Eagles,Broncos,Eagles,Eagles,Broncos,1,-1,0,0
251,2021,10,401326475,Eagles,Broncos,Broncos,Eagles,Broncos,-1,2,0,0
252,2021,10,401326474,Vikings,Chargers,Vikings,Vikings,Chargers,1,-2,0,0
253,2021,10,401326474,Vikings,Chargers,Chargers,Vikings,Chargers,-1,1,0,0
254,2021,10,401326473,Panthers,Cardinals,Panthers,Panthers,Cardinals,1,-1,0,0
255,2021,10,401326473,Panthers,Cardinals,Cardinals,Panthers,Cardinals,-1,1,0,0
256,2021,10,401326472,Buccaneers,Washington,Washington,Washington,Buccaneers,1,-4,0,0
257,2021,10,401326472,Buccaneers,Washington,Buccaneers,Washington,Buccaneers,-2,-1,0,0
258,2021,10,401326471,Saints,Titans,Titans,Titans,Saints,6,5,0,0
259,2021,10,401326471,Saints,Titans,Saints,Titans,Saints,-2,-1,0,0
260,2021,10,401326470,Lions,Steelers,Steelers,Steelers,Steelers,0,4,0,0
261,2021,10,401326470,Lions,Steelers,Lions,Steelers,Steelers,-12,-12,0,0
262,2021,10,401326469,Bills,Jets,Jets,Bills,Jets,-2,-1,0,0
263,2021,10,401326469,Bills,Jets,Bills,Bills,Jets,1,-1,0,0
264,2021,10,401326468,Browns,Patriots,Patriots,Patriots,Browns,4,3,0,0
265,2021,10,401326468,Browns,Patriots,Browns,Patriots,Browns,-1,1,0,0
266,2021,10,401326467,Jaguars,Colts,Jaguars,Colts,Jaguars,-1,1,0,0
267,2021,10,401326467,Jaguars,Colts,Colts,Colts,Jaguars,2,1,0,0
268,2021,10,401326466,Falcons,Cowboys,Falcons,Cowboys,Falcons,-1,1,0,0
269,2021,10,401326466,Falcons,Cowboys,Cowboys,Cowboys,Falcons,1,-1,0,0
270,2021,10,401326465,Ravens,Dolphins,Ravens,Dolphins,Ravens,-1,1,0,0
271,2021,10,401326465,Ravens,Dolphins,Dolphins,Dolphins,Ravens,2,1,0,0
272,2021,9,401326464,Bears,Steelers,Steelers,Steelers,Bears,4,3,0,0
273,2021,9,401326464,Bears,Steelers,Bears,Steelers,Bears,-4,-3,0,0
274,2021,9,401326463,Titans,Rams,Titans,Titans,Rams,5,4,0,0
275,2021,9,401326463,Titans,Rams,Rams,Titans,Rams,-1,4,0,0
276,2021,9,401326462,Cardinals,49ers,Cardinals,Cardinals,49ers,1,-1,0,0
277,2021,9,401326462,Cardinals,49ers,49ers,Cardinals,49ers,-1,1,0,0
278,2021,9,401326461,Packers,Chiefs,Packers,Chiefs,Packers,-1,7,0,0
279,2021,9,401326461,Packers,Chiefs,Chiefs,Chiefs,Packers,2,1,0,0
280,2021,9,401326460,Chargers,Eagles,Eagles,Chargers,Eagles,-1,1,0,0
281,2021,9,401326460,Chargers,Eagles,Chargers,Chargers,Eagles,1,-2,0,0
282,2021,9,401326459,Raiders,Giants,Raiders,Giants,Raiders,-1,2,0,0
283,2021,9,401326459,Raiders,Giants,Giants,Giants,Raiders,1,-1,0,0
284,2021,9,401326458,Falcons,Saints,Saints,Falcons,Saints,-1,3,0,0
285,2021,9,401326458,Falcons,Saints,Falcons,Falcons,Saints,1,-1,0,0
286,2021,9,401326457,Texans,Dolphins,Texans,Dolphins,Texans,-8,-7,0,0
287,2021,9,401326457,Texans,Dolphins,Dolphins,Dolphins,Texans,1,-7,0,0
288,2021,9,401326456,Bills,Jaguars,Jaguars,Jaguars,Bills,1,-1,0,0
289,2021,9,401326456,Bills,Jaguars,Bills,Jaguars,Bills,-1,1,0,0
290,2021,9,401326455,Broncos,Cowboys,Cowboys,Broncos,Cowboys,-1,6,0,0
291,2021,9,401326455,Broncos,Cowboys,Broncos,Broncos,Cowboys,2,1,0,0
292,2021,9,401326454,Browns,Bengals,Browns,Browns,Bengals,1,-1,0,0
293,2021,9,401326454,Browns,Bengals,Bengals,Browns,Bengals,-2,-1,0,0
294,2021,9,401326453,Patriots,Panthers,Patriots,Patriots,Panthers,3,2,0,0
295,2021,9,401326453,Patriots,Panthers,Panthers,Patriots,Panthers,-1,1,0,0
296,2021,9,401326452,Vikings,Ravens,Vikings,Ravens,Vikings,-2,-1,0,0
297,2021,9,401326452,Vikings,Ravens,Ravens,Ravens,Vikings,1,-1,0,0
298,2021,9,401326451,Jets,Colts,Jets,Colts,Jets,-1,1,0,0
299,2021,9,401326451,Jets,Colts,Colts,Colts,Jets,1,-1,0,0
300,2021,8,401326450,Giants,Chiefs,Giants,Chiefs,Giants,-1,1,0,0
301,2021,8,401326450,Giants,Chiefs,Chiefs,Chiefs,Giants,1,-1,0,0
302,2021,8,401326449,Cowboys,Vikings,Vikings,Cowboys,Vikings,-1,2,0,0
303,2021,8,401326449,Cowboys,Vikings,Cowboys,Cowboys,Vikings,6,5,0,0
304,2021,8,401326448,Buccaneers,Saints,Saints,Saints,Buccaneers,3,2,0,0
305,2021,8,401326448,Buccaneers,Saints,Buccaneers,Saints,Buccaneers,-1,4,0,0
306,2021,8,401326447,Washington,Broncos,Washington,Broncos,Washington,-4,-3,0,0
307,2021,8,401326447,Washington,Broncos,Broncos,Broncos,Washington,1,-4,0,0
308,2021,8,401326446,Jaguars,Seahawks,Seahawks,Seahawks,Jaguars,1,-3,0,0
309,2021,8,401326446,Jaguars,Seahawks,Jaguars,Seahawks,Jaguars,-1,1,0,0
310,2021,8,401326445,Patriots,Chargers,Patriots,Patriots,Chargers,2,1,0,0
311,2021,8,401326445,Patriots,Chargers,Chargers,Patriots,Chargers,-2,-1,0,0
312,2021,8,401326444,Bengals,Jets,Jets,Jets,Bengals,1,-2,0,0
313,2021,8,401326444,Bengals,Jets,Bengals,Jets,Bengals,-1,2,0,0
314,2021,8,401326443,Titans,Colts,Titans,Titans,Colts,4,3,0,0
315,2021,8,401326443,Titans,Colts,Colts,Titans,Colts,-1,2,0,0
